"LAKE_HISTORY_ID","LAKE_WATERBODY_NAME","Year","Date_First_Listing","Date_Last_Listing","Number_of_Reports","List_of_Locations","LATITUDE","LONGITUDE"
"0402CON0067","CONESUS LAKE",2021,2021-07-07,2021-07-09,2,"0402CON0067_BEACH_1, 0402CON0067_C",42.752201,-77.718697
"0402CON0067","CONESUS LAKE",2022,2022-07-12,2022-08-12,3,"0402CON0067_BEACH_1, 0402CON0067_BEACH_2, 0402CON0067_BEACH_3",42.752201,-77.718697
"0402CON0067","CONESUS LAKE",2020,2020-06-20,2020-07-22,5,"0402CON0067_BEACH_1, 0402CON0067_BEACH_3",42.752201,-77.718697
"0402CONXXX1","CONESUS CREEK",2015,2015-07-20,2015-07-20,1,"0402CONXXX1_C",42.834736,-77.704561
"0402HEM0044","HEMLOCK LAKE",2018,2018-07-25,2018-07-25,1,"0402HEM0044_C",42.705799,-77.605904
"0402HEM0044","HEMLOCK LAKE",2019,2019-07-19,2019-08-21,2,"0402HEM0044_CSL1, 0402HEM0044_CSL2",42.705799,-77.605904
"0402HEM0044","HEMLOCK LAKE",2020,2020-06-26,2020-09-08,2,"0402HEM0044_CSL1",42.705799,-77.605904
"0402HEM0044","HEMLOCK LAKE",2017,2017-07-12,2017-07-12,1,"0402HEM0044_CSL1",42.705799,-77.605904
"0402HEM0044","HEMLOCK LAKE",2022,2022-07-23,2022-07-23,1,"0402HEM0044_CSL1",42.705799,-77.605904
"0402HEM0044","HEMLOCK LAKE",2021,2021-06-21,2021-10-14,2,"0402HEM0044_CSL1",42.705799,-77.605904
"0402HON0057","HONEOYE LAKE",2013,2013-07-11,2013-10-07,8,"0402HON0057_C",42.7542,-77.511597
"0402HON0057","HONEOYE LAKE",2014,2014-06-16,2014-10-16,15,"0402HON0057_C",42.7542,-77.511597
"0402HON0057","HONEOYE LAKE",2015,2015-07-27,2015-10-14,7,"0402HON0057_3203, 0402HON0057_C",42.7542,-77.511597
"0402HON0057","HONEOYE LAKE",2016,2016-07-25,2016-09-19,6,"0402HON0057_3201, 0402HON0057_3202, 0402HON0057_3208, 0402HON0057_3210",42.7542,-77.511597
"0402HON0057","HONEOYE LAKE",2017,2017-08-25,2017-10-10,3,"0402HON0057_3202, 0402HON0057_C",42.7542,-77.511597
"0402HON0057","HONEOYE LAKE",2018,2018-06-04,2018-10-15,8,"0402HON0057_3201, 0402HON0057_3202, 0402HON0057_3203, 0402HON0057_C",42.7542,-77.511597
"0402HON0057","HONEOYE LAKE",2019,2019-07-02,2019-08-06,7,"0402HON0057_3211, 0402HON0057_BEACH, 0402HON0057_C",42.7542,-77.511597
"0402HON0057","HONEOYE LAKE",2020,2020-06-18,2020-09-15,7,"0402HON0057_3210, 0402HON0057_BEACH, 0402HON0057_C",42.7542,-77.511597
"0402HON0057","HONEOYE LAKE",2021,2021-07-05,2021-10-06,8,"0402HON0057_3201, 0402HON0057_3206, 0402HON0057_3210, 0402HON0057_3212, 0402HON0057_C",42.7542,-77.511597
"0402HON0057","HONEOYE LAKE",2022,2022-06-10,2022-08-23,5,"0402HON0057_3201, 0402HON0057_C",42.7542,-77.511597
"0402HON0057","HONEOYE LAKE",2012,2012-08-09,2012-09-12,6,"0402HON0057_C",42.7542,-77.511597
"0402MIL0016","MILL POND",2014,2014-08-07,2014-08-07,1,"0402MIL0016_C",43.083599,-78.056999
"0402MIL0016","MILL POND",2015,2015-06-25,2015-10-01,2,"0402MIL0016_C",43.083599,-78.056999
"0402UWB5160","AVON MARSH DAM POND",2016,2016-06-16,2016-09-28,4,"0402UWB5160_C, 0402UWB5160_NNE, 0402UWB5160_NW",42.9011,-77.668602
"0402UWB5160","AVON MARSH DAM POND",2019,2019-09-09,2019-09-09,1,"0402UWB5160_C",42.9011,-77.668602
"0402UWB5160","AVON MARSH DAM POND",2022,2022-06-28,2022-06-28,1,"0402UWB5160_C",42.9011,-77.668602
"0402UWB5160","AVON MARSH DAM POND",2015,2015-07-29,2015-09-23,4,"0402UWB5160_C, 0402UWB5160_NNE, 0402UWB5160_NW",42.9011,-77.668602
"0403AND0164","ANDOVER POND",2016,2016-06-15,2016-07-26,3,"0403AND0164_C, 0403AND0164_SSE",42.1656,-77.793602
"0403RUS0146","RUSHFORD LAKE",2019,2019-07-10,2019-10-19,2,"0403RUS0146_C",42.3806,-78.192703
"0403SIL0115","SILVER LAKE",2014,2014-08-22,2014-08-22,1,"0403SIL0115_C",42.687199,-78.034798
"0403SIL0115","SILVER LAKE",2015,2015-07-24,2015-08-12,3,"0403SIL0115_C, 0403SIL0115_NNE",42.687199,-78.034798
"0403SIL0115","SILVER LAKE",2017,2017-09-09,2017-09-22,2,"0403SIL0115_C",42.687199,-78.034798
"0403SIL0115","SILVER LAKE",2021,2021-07-18,2021-07-18,1,"0403SIL0115_C",42.687199,-78.034798
"0403SIL0115","SILVER LAKE",2022,2022-06-24,2022-07-03,2,"0403SIL0115_C",42.687199,-78.034798
"0403SIL0115","SILVER LAKE",2019,2019-05-27,2019-07-31,5,"0403SIL0115_C",42.687199,-78.034798
"0403UWB5279","UNNAMED WATER",2021,2021-07-28,2021-07-28,1,"0403UWB5279_C",42.5951,-78.047996
"0404LOO0079","LOON LAKE",2015,2015-06-13,2015-06-13,1,"0404LOO0079_C",42.492599,-77.566902
"0404LOO0079","LOON LAKE",2019,2019-06-26,2019-09-21,2,"0404LOO0079_C",42.492599,-77.566902
"0404LOO0079","LOON LAKE",2022,2022-06-25,2022-06-25,1,"0404LOO0079_C",42.492599,-77.566902
"0404LOO0079","LOON LAKE",2012,2012-06-16,2012-06-16,1,"0404LOO0079_C",42.492599,-77.566902
"0404UWB5318","MOSCO MOSKO BEACHVILLE DAM",2016,2016-06-17,2016-06-17,1,"0404UWB5318_C",42.455,-77.63472
"05-LLKC-0.2","LAMOKA LAKE CHANNEL",2022,2022-11-03,2022-11-03,1,"05-LLKC-0.2",42.418768,-77.089605
"05-LLKC-0.2","LAMOKA LAKE CHANNEL",2013,2013-09-17,2013-09-17,1,"05-LLKC-0.2",42.418768,-77.089605
"0501MIL0016","MILLER POND",2020,2020-09-17,2020-09-17,1,"0501MIL0016_C",42.0714,-76.792198
"0502LAM0047","LAMOKA LAKE",2016,2016-08-25,2016-08-25,1,"0502LAM0047_C",42.4058,-77.077797
"0502LAM0047","LAMOKA LAKE",2022,2022-09-24,2022-10-25,2,"0502LAM0047_C",42.4058,-77.077797
"0502LAM0047","LAMOKA LAKE",2017,2017-10-01,2017-10-01,1,"0502LAM0047_C",42.4058,-77.077797
"0502MUD0063","MUD LAKE",2012,2012-08-30,2012-08-30,1,"0502MUD0063_C",42.491402,-77.279198
"0502SAL0051","LAKE SALUBRIA",2019,2019-06-18,2019-06-18,1,"0502SAL0051_C",42.3293,-77.2929
"0502SAL0051","LAKE SALUBRIA",2021,2021-06-19,2021-06-19,1,"0502SAL0051_C",42.3293,-77.2929
"0502SAL0051","LAKE SALUBRIA",2020,2020-06-23,2020-06-23,1,"0502SAL0051_C",42.3293,-77.2929
"0502SMI0066","SMITH POND",2014,2014-10-13,2014-11-01,2,"0502SMI0066_C, 0502SMI0066_NE",42.388802,-77.474403
"0502SMI0066","SMITH POND",2015,2015-06-28,2015-07-28,2,"0502SMI0066_C, 0502SMI0066_NE",42.388802,-77.474403
"0502SMI0066","SMITH POND",2016,2016-07-03,2016-07-31,2,"0502SMI0066_SSE, 0502SMI0066_SW",42.388802,-77.474403
"0502SMI0066","SMITH POND",2013,2013-06-30,2013-10-19,7,"0502SMI0066_C",42.388802,-77.474403
"0502SMI0066","SMITH POND",2018,2018-08-05,2018-08-05,1,"0502SMI0066_C",42.388802,-77.474403
"0502SMI0066","SMITH POND",2019,2019-06-17,2019-06-17,1,"0502SMI0066_C",42.388802,-77.474403
"0502SMI0066","SMITH POND",2021,2021-06-28,2021-06-28,1,"0502SMI0066_C",42.388802,-77.474403
"0502SMI0066","SMITH POND",2017,2017-06-11,2017-07-09,3,"0502SMI0066_C, 0502SMI0066_SSE",42.388802,-77.474403
"0502WAN0048","WANETA LAKE",2013,2013-07-31,2013-10-23,6,"0502WAN0048_C",42.4445,-77.101799
"0502WAN0048","WANETA LAKE",2018,2018-09-13,2018-10-07,2,"0502WAN0048_C",42.4445,-77.101799
"0502WAN0048","WANETA LAKE",2019,2019-08-25,2019-08-25,1,"0502WAN0048_C",42.4445,-77.101799
