Lake_ID,NATURAL,FOREST,DEVELOPED
1404TEE0404,83.99487836,80.28169014,5.889884763
1404UWB0413,94.80122324,94.18960245,2.140672783
1404BEA0401,78.68790292,75.84376185,4.588547592
1404UWB5489,92.75873118,90.02456478,4.880914237
1404ARC5574,82.80440415,78.59455959,7.213406736
1404OAK5510,97.28471683,94.56943367,2.017067494
1404RUS0410,96.50744735,95.32614278,3.492552645
1404UWB5436,95.69471624,95.28827337,2.393496914
1404UWB5437,88.56796041,86.28653242,3.159139718
1404PAG0391,95.14925373,95.14925373,3.917910448
1404BEA5486,99.12126538,96.48506151,0.64440539
1404CAN0402A,74.60083206,71.23652438,4.721490299
1404UWB5435,98.26968974,96.56921241,0.80548926
1404DEP0398,95.41984733,92.49363868,4.071246819
1404HAT0377,94.47388342,94.1332324,4.844814534
1404RUS0376,64.89104116,64.28571429,4.11622276
1404SKY0390,96.09375,95.3125,0
1404CRY0380,95.29843281,94.36478826,4.668222741
1404UWB5421,41.30434783,23.91304348,45.10869565
1404SIL0378,91.80202072,90.13940402,5.844737179
1404UWB5422,94.51998352,93.61351463,4.738360115
1404DEE0389,86.90136378,85.1094196,10.57722804
1404UWB5424,90.99639856,89.25570228,0.180072029
1404FLY0388,87.41023859,85.76557795,10.20384526
1404OQU0383,87.92792793,86.30630631,6.531531532
1404BLU0381,74.6031746,72.35905857,14.4499179
1404LAU0382,68.88888889,67.03703704,16.66666667
1404UWB5426,77.19389076,73.3626715,10.1216671
1404UWB5425,98.19004525,98.19004525,0
1401DEE0262A,98.48024316,96.68693009,1.489361702
1401BAS0264,74.21972534,73.47066167,6.367041199
1401GLE0261A,96.76281386,94.04440755,3.216434945
1401ELM5372,89.80125523,88.80753138,7.792887029
1401BAS0262,94.96327387,92.23504722,5.036726128
1401MUD0252,89.65231788,77.31788079,7.533112583
1401SAN0255,86.64812239,75.52155772,7.371349096
1401SAN0267,56.73969551,51.20683253,28.96398069
1401CRY0260,99.76303318,99.76303318,0
1401PET5336,93.13640313,90.26933102,6.255430061
1401SOM0268,82.10633947,79.44785276,10.53169734
1401PER0265,89.63051251,86.2932062,7.270560191
1401ANA0251,85.16228748,84.85316847,14.83771252
1401UWB0246B,86.41732283,84.64566929,6.003937008
1401STU0245,86.63793103,85.41666667,6.17816092
1401UWB5319,88.45303867,83.25966851,3.370165746
1401VOG0257A,88.32612724,87.21432983,3.211859172
1401UWB5320,94.29312581,91.43968872,2.140077821
1401KRA0245A,81.64543746,79.27890304,5.143732164
1401LES5349,83.83431953,81.11242604,4.378698225
1401REI0246A,64.78174603,62.6984127,10.71428571
1401HUS0239,77.35368957,73.7913486,10.17811705
1401GOS0248,84.58771249,81.83912911,5.530083939
1401JEF0240A,74.57754699,70.77465173,5.283253515
1401BRI0241,69.03863196,63.38661503,4.683756195
1401BIR0236,89.64028777,63.45323741,5.251798561
1401UWB0229,47.54901961,47.54901961,5.637254902
1401UWB0237A,81.04575163,78.75816993,5.555555556
1401HUN0237,73.93703573,66.47329324,5.362575168
1401KEN0232,68.62865005,62.1892677,5.491515059
1401HUS0234,66.70276961,58.98576512,5.809995358
1401UWB0231,73.85019711,71.74770039,3.416557162
1401PIN0233,80.72837633,79.05918058,5.007587253
1401UWB5280,84.61879433,63.4751773,4.343971631
1401UWB5272,84.56539399,84.07798538,1.299756296
1401LYN0221B,55.82386364,52.55681818,5.482954545
1401KAZ5263,85.27131783,81.18393235,3.453136011
1401BAR0220,100,76.82926829,0
1401UWB5279,98.16401469,92.77845777,1.835985312
1401UWB5265,85.0945495,75.08342603,2.892102336
1401UWB5292,99.42196532,99.42196532,0.578034682
1401UWB0220C,92.19354839,89.16129032,2.064516129
1401UWB5262,89.12,84.8,6.24
1401HUN0216,74.64702271,73.35788828,19.7053407
1401UWB0215A,40.97363083,38.74239351,10.7505071
1401MUD0218,84.31372549,67.05882353,12.54901961
1401KAB0220B,80.25435704,74.99764484,2.298634008
1401UWB5270,98.64217252,84.85090522,1.357827476
1401UWB5269,100,96.75456389,0
1401PER5295,91.89189189,83.53808354,1.197788698
1401UWB5259,0,0,0
1401NIA0211A,96.12714651,89.62367556,3.872853489
1401UWB0211B,97.36983773,89.17942013,2.63016227
1401UWB5257,85.38543897,76.98072805,3.988222698
1401BEA5296,89.62440064,83.52424081,3.689397975
1401UWB5222,86.35097493,83.00835655,5.431754875
1401LUX0212,82.88477663,76.57152305,4.441478997
1401SWA0211,93.95818313,87.50973324,3.232876712
1401CLA0225,79.97416021,67.18346253,9.431524548
1401FEA0225A,91.20073327,89.09257562,8.249312557
1401DAV0209,100,90.74235808,0
1401FRE5231,94.62616822,86.76012461,2.647975078
1401MAH0208,96.74796748,84.07012195,2.362804878
1401GRA0206,95.62171629,76.00700525,4.378283713
1401ROC0207,96.06879607,87.64946765,3.357903358
1401UWB5233,98.44522968,88.99293286,1.554770318
1401LA 5235,94.67758444,93.65404299,5.322415558
1401HAN0205,98.06461445,89.46967388,1.935385553
1401TUS0203B,91.80775532,85.19934462,8.192244675
1404COL0379,90.53213545,90.18659295,8.154803041
1401OSH5382,90.32786885,88.44262295,4.508196721
1401MIT0227,88.13321648,81.10429448,4.171779141
1401YOR0203,88.96353167,83.87715931,11.03646833
1404PAG0387,99.65635739,98.96907216,0
1403UWB0370A,79.28015564,78.84241245,9.873540856
1403BRY0362,94.20408163,93.14285714,1.306122449
1403UWB5535,84.13387047,82.55345522,4.927176945
1403UWB5518,95.62913907,94.83443709,4.105960265
1403UWB0364,94.81865285,94.30051813,5.18134715
1403UWB5538,95.32901466,93.41970678,4.261847937
1403PER0366,92.29910714,87.27678571,5.580357143
1403FUR0368,98.13701923,98.07692308,1.862980769
1403MUD0367,97.09302326,97.09302326,0.968992248
1403LAU0352,93.849111,93.80105718,6.054781355
1403MOU0345A,95.57894737,94.80701754,4.421052632
1403BEE0348,99.59150327,99.14215686,0.367647059
1403ALD0346,99.8817128,98.5923823,0
1403UWB5470,97.57536042,97.50982962,2.424639581
1403BAL0349,98.47437426,92.18116806,1.47794994
1403TUN0351,100,93.96551724,0
1403BIG0345,96.50399543,95.9902968,3.496004566
1403UWB5472,100,99.71988796,0
1403LIT0344,100,99.06743185,0
1403PEP0358A,87.82553829,86.10439821,4.147453525
1403UWB0341,94.16058394,84.30656934,5.839416058
1403FOR0346A,100,99.0281827,0
1403HUG0340,99.14367269,98.00190295,0.856327307
1403TRA5448,91.82072829,89.41176471,3.137254902
1403MER0279,99.29824561,93.68421053,0
1403PER0274,99.91673605,99.33388843,0
1403HOD0327,98.28393136,97.6599064,1.716068643
1403UWB5443,99.95452478,99.04502046,0
1403QUI5452,92.760181,92.02488688,5.090497738
1403SAN0332,99.8694517,95.82245431,0
1403STU0353,95.18377693,94.45500634,2.883396705
1403QUI5402,100,98.53466762,0
1403TRO0287,99.96895374,98.75814964,0
1403MON0328,99.45475416,97.75205663,0.535680122
1403EDW0282,94.30851987,93.49297241,1.353461739
1403FRI0326,98.75373878,94.57876371,1.246261216
1403CLE0337,99.34065934,99.34065934,0.659340659
1403MUD0285,99.91043439,99.82086879,0
1403MIM5383,97.0657277,92.13615023,2.9342723
1403UWB5446,99.19839679,98.46359385,0.801603206
1403LON0331,99.85611511,74.5323741,0
1403BEA0277,98.44798658,97.81879195,1.384228188
1403UNC0321,96.84968497,95.73957396,0
1403ORC0324,99.29358238,95.25862069,0.694444444
1403FOR0322,85.39325843,84.45692884,0
1403WAN0338,96.45138396,95.03193754,3.288384197
1403KNI0323,100,97.60479042,0
1403UWB0294B,90.8719346,85.42234332,0
1403EDG5406,95.17167382,93.50858369,4.291845494
1403EDG0339,95.63953488,93.89534884,4.360465116
1403MUD0295,99.76470588,95.41176471,0.235294118
1403AMB0336,93.04775281,70.5758427,4.70505618
1403UWB5378,100,50,0
1403MAP0320,94.56066946,78.38214784,4.463040446
1403UWB0330,87.58256275,82.69484808,8.454425363
1403UWB0294A,89.50729927,76.64233577,2.554744526
1403WHI0318,100,84.18430884,0
1403TRO0317A,92.44897959,89.48979592,4.081632653
1403UWB5396,88.33992095,88.33992095,11.66007905
1403NOR0316,78.99891186,68.98803047,7.616974973
1403HUN0329,83.48348348,78.07807808,16.51651652
1403MUD0313,99.54887218,75.4887218,0.45112782
1403LIL0311,98.49768875,82.31895223,1.502311248
1403UWB5394,98.21428571,91.07142857,1.785714286
1403NIM0304A,94.8427673,91.13207547,2.830188679
